,anot,date,start_time,end_time,event_no,D001,D002,D004,ENTERHOME,M001,M002,M003,M004,M005,M006,M007,M008,M009,M010,M011,M012,M013,M014,M015,M016,M017,M018,M019,M020,M021,M022,M023,M024,M025,M026,M027,M028,M029,M030,M031,c,duration,weekday,season
0,Sleeping,2010-11-04 00:00:00.000000,2020-05-14 00:03:50.209589,2020-05-14 05:40:43.642664,1.0,,,,,,3.0,8.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 05:36:53.433075000,Thursday,autumn
1,Bed_to_Toilet,2010-11-04 00:00:00.000000,2020-05-14 05:40:51.303739,2020-05-14 05:43:30.279021,2.0,,,,,,,,3.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 00:02:38.975282000,Thursday,autumn
2,Sleeping,2010-11-04 00:00:00.000000,2020-05-14 05:43:45.732400,2020-05-14 08:01:12.282970,3.0,,,,,,2.0,26.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,0 days 02:17:26.550570000,Thursday,autumn
3,Meal_Preparation,2010-11-04 00:00:00.000000,2020-05-14 08:11:09.966157,2020-05-14 08:27:02.801314,4.0,,,,,,,,,,,,,,,,,,,32.0,7.0,1.0,22.0,62.0,2.0,,,,,,,,,,,,,0 days 00:15:52.835157000,Thursday,autumn
4,Meal_Preparation,2010-11-04 00:00:00.000000,2020-05-14 08:33:52.929406,2020-05-14 08:35:45.822482,5.0,,,,,,,,,,,,,,,,,,,4.0,2.0,2.0,4.0,11.0,,,,,,,,,,,,,,0 days 00:01:52.893076000,Thursday,autumn
5,Relax,2010-11-04 00:00:00.000000,2020-05-14 09:29:23.223133,2020-05-14 09:34:05.780570,6.0,,,,,,,,,,,,,7.0,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,0 days 00:04:42.557437000,Thursday,autumn
6,Housekeeping,2010-11-04 00:00:00.000000,2020-05-14 09:34:16.851472,2020-05-14 09:44:40.315639,7.0,,,,,,,,,,,,,1.0,,,1.0,4.0,6.0,,,1.0,3.0,,11.0,11.0,,,,,,,,,,2.0,,0 days 00:10:23.464167000,Thursday,autumn
7,Meal_Preparation,2010-11-04 00:00:00.000000,2020-05-14 09:48:52.342223,2020-05-14 09:53:02.954445,8.0,,,,,,,,,,,,,,,,,,,4.0,6.0,9.0,9.0,19.0,1.0,,,,,,,,,,,,,0 days 00:04:10.612222000,Thursday,autumn
8,Meal_Preparation,2010-11-04 00:00:00.000000,2020-05-14 09:54:58.753743,2020-05-14 09:56:27.334395,9.0,,,,,,,,,,,,,,,,,,3.0,3.0,2.0,1.0,5.0,10.0,,0.0,,,,,,,,,,,,0 days 00:01:28.580652000,Thursday,autumn
9,Eating,2010-11-04 00:00:00.000000,2020-05-14 09:56:41.831135,2020-05-14 09:59:04.438334,10.0,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,0 days 00:02:22.607199000,Thursday,autumn
10,Eating,2010-11-04 00:00:00.000000,2020-05-14 09:59:47.894921,2020-05-14 10:02:48.972200,11.0,,,,,,,,,,,,,,,,,2.0,17.0,,,,,,3.0,,,,,,,,,,,,,0 days 00:03:01.077279000,Thursday,autumn
11,Wash_Dishes,2010-11-04 00:00:00.000000,2020-05-14 10:03:21.966597,2020-05-14 10:04:25.772378,12.0,,,,,,,,,,,,1.0,,,,,,0.0,1.0,,4.0,3.0,4.0,1.0,1.0,,,,,,,,,,,,0 days 00:01:03.805781000,Thursday,autumn
12,Housekeeping,2010-11-04 00:00:00.000000,2020-05-14 11:29:08.108298,2020-05-14 11:33:48.313567,13.0,,,,,,,1.0,,,4.0,8.0,2.0,,,,,,,,,,,,6.0,6.0,,,,,,,,,,7.0,,0 days 00:04:40.205269000,Thursday,autumn
13,Leave_Home,2010-11-04 00:00:00.000000,2020-05-14 11:41:34.029848,2020-05-14 11:41:43.345957,14.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0 days 00:00:09.316109000,Thursday,autumn
14,Enter_Home,2010-11-04 00:00:00.000000,2020-05-14 11:43:30.094537,2020-05-14 11:43:34.683398,15.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0 days 00:00:04.588861000,Thursday,autumn
15,Leave_Home,2010-11-04 00:00:00.000000,2020-05-14 11:43:53.784103,2020-05-14 11:43:58.371827,16.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0 days 00:00:04.587724000,Thursday,autumn
16,Enter_Home,2010-11-04 00:00:00.000000,2020-05-14 11:47:48.042367,2020-05-14 11:47:52.575602,17.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0 days 00:00:04.533235000,Thursday,autumn
17,Relax,2010-11-04 00:00:00.000000,2020-05-14 14:46:25.648668,2020-05-14 15:13:24.311043,18.0,,,,,,,,,,,,,95.0,4.0,,,0.0,,,,,,,0.0,,,,,,,,,,,,,0 days 00:26:58.662375000,Thursday,autumn
